final_founding,STATE,DISTRICT_NAME,SCHOOL_NAME,vb_school,char_diff,kshetra,pranta,district,locality,loc2,lon,lat,avg_year
2002,Madhya Pradesh,KATNI,SARASWATI SHISHU MANDIR CHARGAWAN,"SARSWATI SHISHU MANDIR, PDARBHATA",0.7575758,Vidya Bharti Madhya Kshetra,Maha Koshal,Katni,katni,"katni, Katni, India",80.38938139999999,23.8343441,2007.3333333333333
2004,Madhya Pradesh,AGAR MALWA,SARSWATI SHISHU MANDIR GURADIA BAR.,"SARSWATI SHISHU MANDIR, PIPALYA HAMIR",0.7297297,Vidya Bharti Madhya Kshetra,Malwa,Agar Malwa,Baroda,"Baroda, Agar Malwa, India",76.0094637,23.7137337,2002.9
1998,Madhya Pradesh,MANDSAUR,SARSVATI SHISHUMANDIR  PIPLIYA,"SARSWATI SHISHU MANDIR, PIPLIYAMITTWSHAH",0.7,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Pipliyamittwshah,"Pipliyamittwshah, Mandsaur, India",75.0679018,24.0734356,1999.4
1997,Madhya Pradesh,NEEMUCH,SARSVATI SHISHU MANDIR ALORI,"SARSWATI SHISHU MANDIR, PIPLON",0.7666667,Vidya Bharti Madhya Kshetra,Malwa,Neemuch,Neemuch,"Neemuch, Neemuch, India",74.8726497,24.4737663,2000.8333333333333
2002,Madhya Pradesh,AGAR MALWA,SARSWATI SHISHU MANDIR BIJANAGRI,"SARSWATI SHISHU MANDIR, PIPLONE KHURD",0.7027027,Vidya Bharti Madhya Kshetra,Malwa,Agar Malwa,Agar,"Agar, Agar Malwa, India",76.0094637,23.7137337,2003.5384615384614
2002,Madhya Pradesh,AGAR MALWA,SARSWATI SHISHU MANDIR BIJANAGRI,"SARSWATI SHISHU MANDIR, PIPLONEKALAA",0.7222222,Vidya Bharti Madhya Kshetra,Malwa,Agar Malwa,Agar,"Agar, Agar Malwa, India",76.0094637,23.7137337,2005.2666666666667
1998,Madhya Pradesh,MANDSAUR,SARSVATI SHISHUMANDIR  PIPLIYA,"SARSWATI SHISHU MANDIR, PIPLYA MITHTHESHA",0.6585366,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Garoth,"Garoth, Mandsaur, India",75.6499025,24.328077,2001.9411764705883
2008,Madhya Pradesh,SHAJAPUR,SARASWATI SHISHU MANDIR KALYANPURA,"SARSWATI SHISHU MANDIR, POLAY KHURD",0.7428571,Vidya Bharti Madhya Kshetra,Malwa,Shajapur,Shajapur,"Shajapur, Shajapur, India",76.2729839,23.4272938,2007.5
2000,Madhya Pradesh,NEEMUCH,SARSVATI SHISHU MANDIR BAVDA,"SARSWATI SHISHU MANDIR, RABDIYA",0.8064516,Vidya Bharti Madhya Kshetra,Malwa,Neemuch,Neemuch,"Neemuch, Neemuch, India",74.8726497,24.4737663,1997.95
1998,Madhya Pradesh,MANDSAUR,SARSWATI SHISHU MANDIR JHAWAL,"SARSWATI SHISHU MANDIR, RAMGARH",0.7741935,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Ramgarh Mandsor,"Ramgarh Mandsor, Mandsaur, India",75.0679018,24.0734356,1999.5384615384614
2001,Madhya Pradesh,MANDSAUR,SARSVATI SHISHU MAND. LALAKHED,"SARSWATI SHISHU MANDIR, RANAKHEDA",0.7878788,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Ranakhed Mandsor,"Ranakhed Mandsor, Mandsaur, India",74.9968543,23.9274775,2001.9285714285713
1994,Madhya Pradesh,MANDSAUR,SARSVATI SHISHU MAND. RALAYATA,"SARSWATI SHISHU MANDIR, RANAYARA",0.8125,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Ranayara  Mandsor,"Ranayara  Mandsor, Mandsaur, India",75.32809929999999,24.1879725,2001.2
2000,Madhya Pradesh,NEEMUCH,SARSVATI SHISHU MANDIR BHANPUR,"SARSWATI SHISHU MANDIR, RATANGAD",0.75,Vidya Bharti Madhya Kshetra,Malwa,Neemuch,Neemuch,"Neemuch, Neemuch, India",74.8726497,24.4737663,2000.64
1998,Madhya Pradesh,MANDSAUR,SARSWATI SHISHU MANDIR JHAWAL,"SARSWATI SHISHU MANDIR, RATHANA",0.8064516,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Rathana Mandsor,"Rathana Mandsor, Mandsaur, India",75.064419,24.0737907,1999.25
1998,Madhya Pradesh,MANDSAUR,SARSWATI SHISHU MANDIR JHAWAL,"SARSWATI SHISHU MANDIR, RAWTI",0.8275862,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Rawti Mandsor,"Rawti Mandsor, Mandsaur, India",75.7109806,24.3077775,1999.25
2016,Madhya Pradesh,MANDSAUR,SARASWATI SHISHU MANDIR KHADAWDA,"SARSWATI SHISHU MANDIR, REWASDEWDA",0.7941176,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Rewasdewda Mandsor,"Rewasdewda Mandsor, Mandsaur, India",75.0533602,24.0715749,2001.2727272727273
1998,Madhya Pradesh,MANDSAUR,SARSWATI SHISHU MANDIR JHAWAL,"SARSWATI SHISHU MANDIR, RICHA LAL MUHA",0.7105263,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Richa Lal Muha,"Richa Lal Muha, Mandsaur, India",75.0698754,23.885377,2001.6363636363637
2009,Madhya Pradesh,AGAR MALWA,SARASWATI SHISHU MANDIR SEMLI,"SARSWATI SHISHU MANDIR, RICHHI",0.7666667,Vidya Bharti Madhya Kshetra,Malwa,Agar Malwa,Nalkheda,"Nalkheda, Agar Malwa, India",76.00950279999999,23.7138069,2005.3636363636363
1998,Madhya Pradesh,MANDSAUR,SARSWATI SHISHU MANDIR JHAWAL,"SARSWATI SHISHU MANDIR, RUNIJA",0.7666667,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Runija,"Runija, Mandsaur, India",75.75239669999999,24.0840785,2004.6
1995,Madhya Pradesh,KATNI,SAR.SHISHU MANDIR PATHRADI PIPARIYA,"SARSWATI SHISHU MANDIR, SAHLAWAN PIPARIYA",0.6829268,Vidya Bharti Madhya Kshetra,Maha Koshal,Katni,katni,"katni, Katni, India",80.38938139999999,23.8343441,2004.9166666666667
2005,Madhya Pradesh,SHAJAPUR,SARSWATI SHISHU MANDIR KADIKHEDI,"SARSWATI SHISHU MANDIR, SAKHEDI",0.875,Vidya Bharti Madhya Kshetra,Malwa,Shajapur,Shajapur,"Shajapur, Shajapur, India",76.2729839,23.4272938,2000.25
1998,Madhya Pradesh,MANDSAUR,SARSWATI SHISHU MANDIR JHAWAL,"SARSWATI SHISHU MANDIR, SAKHTALI",0.78125,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Sakhtali   Mandsor,"Sakhtali   Mandsor, Mandsaur, India",75.2799884,23.9814788,2000
2002,Madhya Pradesh,KATNI,SARASWATI SHISHU MANDIR CHARGAWAN,"SARSWATI SHISHU MANDIR, SAKRIGARH",0.7272727,Vidya Bharti Madhya Kshetra,Maha Koshal,Katni,katni,"katni, Katni, India",80.38938139999999,23.8343441,2005.6666666666667
2010,Madhya Pradesh,KATNI,SARASWATI SHISHU MANDIR SALAIYA STATTION,"SARSWATI SHISHU MANDIR, SALAIYA KOHARI",0.775,Vidya Bharti Madhya Kshetra,Maha Koshal,Katni,katni,"katni, Katni, India",80.38938139999999,23.8343441,2003.9
2010,Madhya Pradesh,KATNI,SARASWATI SHISHU MANDIR SALAIYA STATTION,"SARSWATI SHISHU MANDIR, SALAIYA SIHORA",0.775,Vidya Bharti Madhya Kshetra,Maha Koshal,Katni,katni,"katni, Katni, India",80.38938139999999,23.8343441,2005.3
2006,Madhya Pradesh,SHAJAPUR,SARSWATI SHISHU MANDIR SEMALI,"SARSWATI SHISHU MANDIR, SALSLAI",0.8387097,Vidya Bharti Madhya Kshetra,Malwa,Shajapur,Shajapur,"Shajapur, Shajapur, India",76.2729839,23.4272938,1998.8
2003,Madhya Pradesh,SHAJAPUR,SARSWATI SHISHU MANDIR BAGODA,"SARSWATI SHISHU MANDIR, SAMGI BORDI",0.7714286,Vidya Bharti Madhya Kshetra,Malwa,Shajapur,Shajapur,"Shajapur, Shajapur, India",76.2729839,23.4272938,1997.1333333333334
1998,Madhya Pradesh,MANDSAUR,SARSWATI SHISHU MANDIR JHAWAL,"SARSWATI SHISHU MANDIR, SANDALPUR",0.7575758,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Sandalpur,"Sandalpur, Mandsaur, India",75.7080727,24.5079607,2000.5625
2003,Uttar Pradesh,SITAPUR,SARASWATI SHISHU MANDIR SANDAN,"SARSWATI SHISHU MANDIR, SANDANA",0.9032258,Vidya Bharti Purvi Uttar Pradesh,Awadh,Sitapur,Sitapur,"Sitapur, Sitapur, India",80.6789519,27.5680156,2000
1998,Madhya Pradesh,MANDSAUR,SARSWATI SHISHU MANDIR JHAWAL,"SARSWATI SHISHU MANDIR, SANDHARA",0.78125,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Sandhara,"Sandhara, Mandsaur, India",75.8824422,24.547872,2001.2
1998,Madhya Pradesh,NEEMUCH,SARSVATI SHISHU MANDIR GARVADA,"SARSWATI SHISHU MANDIR, SARODA",0.8333333,Vidya Bharti Madhya Kshetra,Malwa,Neemuch,Neemuch,"Neemuch, Neemuch, India",74.8726497,24.4737663,2000.4285714285713
2009,Madhya Pradesh,AGAR MALWA,SARASWATI SHISHU MANDIR SEMLI,"SARSWATI SHISHU MANDIR, SARSI",0.8275862,Vidya Bharti Madhya Kshetra,Malwa,Agar Malwa,Susner,"Susner, Agar Malwa, India",76.1001009,23.9428099,2004.4166666666667
1998,Madhya Pradesh,MANDSAUR,SARSWATI SHISHU MANDIR JHAWAL,"SARSWATI SHISHU MANDIR, SARSOUD",0.7419355,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Sarsoud,"Sarsoud, Mandsaur, India",75.0791181,23.86188,2002.2941176470588
2016,Madhya Pradesh,MANDSAUR,SARASWATI SHISHU MANDIR KHADAWDA,"SARSWATI SHISHU MANDIR, SATHAKHEDA",0.7647059,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Sathakheda,"Sathakheda, Mandsaur, India",75.55678209999999,24.2726321,2004.8
2016,Madhya Pradesh,MANDSAUR,SARASWATI SHISHU MANDIR KHADAWDA,"SARSWATI SHISHU MANDIR, SATHKEDA",0.75,Vidya Bharti Madhya Kshetra,Malwa,Mandsaur,Garoth,"Garoth, Mandsaur, India",75.6499025,24.328077,2000.5
2006,Madhya Pradesh,NEEMUCH,SARASWATI SHISHU MANDIR HARWAR,"SARSWATI SHISHU MANDIR, SAWAN",0.8333333,Vidya Bharti Madhya Kshetra,Malwa,Neemuch,Neemuch,"Neemuch, Neemuch, India",74.8726497,24.4737663,2004.7272727272727
2009,Madhya Pradesh,AGAR MALWA,SARASWATI SHISHU MANDIR SEMLI,"SARSWATI SHISHU MANDIR, SEMALKHEDI",0.7941176,Vidya Bharti Madhya Kshetra,Malwa,Agar Malwa,Nalkheda,"Nalkheda, Agar Malwa, India",76.00950279999999,23.7138069,2004.923076923077
2006,Madhya Pradesh,SHAJAPUR,SARSWATI SHISHU MANDIR SEMALI,"SARSWATI SHISHU MANDIR, SEMLI",0.9310345,Vidya Bharti Madhya Kshetra,Malwa,Shajapur,Shajapur,"Shajapur, Shajapur, India",76.2729839,23.4272938,2000.7272727272727
